,Title,Worldwide,Domestic,Foreign,Year
0,Star Wars: Episode IV - A New Hope,"$503,015,849","$307,263,857","$195,751,992",1977
1,Close Encounters of the Third Kind,"$288,095,460","$116,395,460","$171,700,000",1977
2,Saturday Night Fever,"$237,113,184","$94,213,184","$142,900,000",1977
3,Smokey and the Bandit,"$126,737,428","$126,737,428",-,1977
4,A Bridge Too Far,"$50,750,000","$50,750,000",-,1977
5,The Deep,"$47,346,365","$47,346,365",-,1977
6,The Spy Who Loved Me,"$46,838,673","$46,838,673",-,1977
7,"Oh, God!","$41,687,243","$41,687,243",-,1977
8,Annie Hall,"$38,251,425","$38,251,425",-,1977
9,Semi-Tough,"$37,187,139","$37,187,139",-,1977
10,Pete's Dragon,"$35,488,000","$35,488,000",-,1977
11,Heroes,"$33,500,000","$33,500,000",-,1977
12,High Anxiety,"$31,063,038","$31,063,038",-,1977
13,Exorcist II: The Heretic,"$30,749,142","$30,749,142",-,1977
14,The Rescuers,"$29,000,000","$29,000,000",-,1977
15,Slap Shot,"$28,000,000","$28,000,000",-,1977
16,Herbie Goes to Monte Carlo,"$28,000,000","$28,000,000",-,1977
17,The Gauntlet,"$26,414,658","$26,414,658",-,1977
18,The Turning Point,"$25,933,445","$25,933,445",-,1977
19,Freaky Friday,"$25,642,000","$25,642,000",-,1977
20,The Other Side of Midnight,"$24,652,021","$24,652,021",-,1977
21,Looking for Mr. Goodbar,"$22,512,655","$22,512,655",-,1977
22,Julia,"$20,714,400","$20,714,400",-,1977
23,The Bad News Bears in Breaking Training,"$19,104,350","$19,104,350",-,1977
24,For the Love of Benji,"$17,732,000","$17,732,000",-,1977
25,"New York, New York","$16,400,000","$16,400,000",-,1977
26,Black Sunday,"$15,769,322","$15,769,322",-,1977
27,Orca,"$14,717,854","$14,717,854",-,1977
28,Bobby Deerfield,"$9,300,000","$9,300,000",-,1977
29,Islands in the Stream,"$5,596,173","$5,596,173",-,1977
30,"Race for Your Life, Charlie Brown","$3,223,888","$3,223,888",-,1977
31,March or Die,"$1,000,000","$1,000,000",-,1977
32,Joseph Andrews,"$839,865","$839,865",-,1977
33,Citizens Band,"$815,530","$815,530",-,1977
34,Fraternity Row,"$290,674","$290,674",-,1977
35,Grease,"$366,178,870","$159,978,870","$206,200,000",1978
36,Superman,"$300,218,018","$134,218,018","$166,000,000",1978
37,Jaws 2,"$183,855,272","$77,737,272","$106,118,000",1978
38,National Lampoon's Animal House,"$120,091,123","$120,091,123",-,1978
39,Every Which Way but Loose,"$85,196,485","$85,196,485",-,1978
40,Heaven Can Wait,"$81,640,278","$81,640,278",-,1978
41,Hooper,"$78,000,000","$78,000,000",-,1978
42,Revenge of the Pink Panther,"$49,579,269","$49,579,269",-,1978
43,The Deer Hunter,"$48,991,826","$48,979,328","$12,498",1978
44,Halloween,"$47,000,000","$47,000,000",-,1978
45,Foul Play,"$44,999,621","$44,999,621",-,1978
46,The End,"$44,917,151","$44,917,151",-,1978
47,Up in Smoke,"$44,364,244","$44,364,244",-,1978
48,Midnight Express,"$35,000,000","$35,000,000",-,1978
49,Coming Home,"$32,653,905","$32,653,905",-,1978
50,The Lord of the Rings,"$30,471,420","$30,471,420",-,1978
51,House Calls,"$28,460,702","$28,460,702",-,1978
52,Omen II: Damien,"$26,518,355","$26,518,355",-,1978
53,Invasion of the Body Snatchers,"$24,946,533","$24,946,533",-,1978
54,Convoy,"$22,765,081","$22,765,081",-,1978
55,The Wiz,"$21,049,053","$21,049,053",-,1978
56,F.I.S.T.,"$20,388,920","$20,388,920",-,1978
57,Sgt. Pepper's Lonely Hearts Club Band,"$20,378,470","$20,378,470",-,1978
58,Eyes of Laura Mars,"$20,000,000","$20,000,000",-,1978
59,The One and Only,"$16,928,137","$16,928,137",-,1978
60,Return from Witch Mountain,"$16,393,000","$16,393,000",-,1978
61,Corvette Summer,"$15,514,367","$15,514,367",-,1978
62,The Greek Tycoon,"$14,672,713","$14,672,713",-,1978
63,Death on the Nile,"$14,560,084","$14,560,084",-,1978
64,The Buddy Holly Story,"$14,363,400","$14,363,400",-,1978
65,The Big Fix,"$13,062,708","$13,062,708",-,1978
